Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-FC,0.28 [0.26-0.29],0.000e+00,***,Free Cholesterol in Medium VLDL
Remnant-C,0.27 [0.26-0.29],0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-P,0.27 [0.25-0.28],0.000e+00,***,Concentration of Very Small VLDL Particles
Total-FC,0.27 [0.25-0.28],0.000e+00,***,Total-Free Cholesterol
L-LDL-PL,0.26 [0.25-0.28],0.000e+00,***,Phospholipids in Large LDL
LDL-P,0.26 [0.25-0.28],0.000e+00,***,Concentration of LDL Particles
XS-VLDL-FC,0.26 [0.24-0.27],0.000e+00,***,Free Cholesterol in Very Small VLDL
L-LDL-P,0.25 [0.24-0.27],0.000e+00,***,Concentration of Large LDL Particles
IDL-L,0.25 [0.24-0.26],0.000e+00,***,Total-Lipids in IDL
L-LDL-FC,0.25 [0.24-0.26],0.000e+00,***,Free Cholesterol in Large LDL
M-VLDL-C,0.24 [0.23-0.26],0.000e+00,***,Cholesterol in Medium VLDL
XL-HDL-P,0.24 [0.22-0.26],3.528e-298,***,Concentration of Very Large HDL Particles
IDL-C,0.24 [0.23-0.25],0.000e+00,***,Cholesterol in IDL
IDL-CE,0.23 [0.22-0.24],0.000e+00,***,Cholesteryl Esters in IDL
M-VLDL-CE,0.23 [0.22-0.24],0.000e+00,***,Cholesteryl Esters in Medium VLDL
XS-VLDL-C,0.23 [0.21-0.24],0.000e+00,***,Cholesterol in Very Small VLDL
IDL-FC,0.22 [0.21-0.23],0.000e+00,***,Free Cholesterol in IDL
IDL-PL,0.22 [0.21-0.23],0.000e+00,***,Phospholipids in IDL
XS-VLDL-CE,0.21 [0.20-0.22],0.000e+00,***,Cholesteryl Esters in Very Small VLDL
IDL-P,0.20 [0.19-0.21],0.000e+00,***,Concentration of IDL Particles
